Time elapsed was 389488309ns or 0.389488309s,,389488309,,0.389488309
Time elapsed was 407297715ns or 0.407297715s,,407297715,,0.407297715
Time elapsed was 400391453ns or 0.400391453s,,400391453,,0.400391453
Time elapsed was 399371551ns or 0.399371551s,,399371551,,0.399371551
Time elapsed was 404309983ns or 0.404309983s,,404309983,,0.404309983
Time elapsed was 392268432ns or 0.392268432s,,392268432,,0.392268432
Time elapsed was 399973809ns or 0.399973809s,,399973809,,0.399973809
Time elapsed was 388459666ns or 0.388459666s,,388459666,,0.388459666
Time elapsed was 397442941ns or 0.397442941s,,397442941,,0.397442941
Time elapsed was 402006731ns or 0.402006731s,,402006731,,0.402006731
,,,,
,,398101059,,0.398101059
