Time elapsed was 99583760ns or 0.099583760s,,99583760,,0.09958376
Time elapsed was 100812085ns or 0.100812085s,,100812085,,0.100812085
Time elapsed was 100415414ns or 0.100415414s,,100415414,,0.100415414
Time elapsed was 101012443ns or 0.101012443s,,101012443,,0.101012443
Time elapsed was 100219093ns or 0.100219093s,,100219093,,0.100219093
Time elapsed was 100725198ns or 0.100725198s,,100725198,,0.100725198
Time elapsed was 100082532ns or 0.100082532s,,100082532,,0.100082532
Time elapsed was 100315116ns or 0.100315116s,,100315116,,0.100315116
Time elapsed was 100360304ns or 0.100360304s,,100360304,,0.100360304
Time elapsed was 100251385ns or 0.100251385s,,100251385,,0.100251385
,,,,
,,100377733,,0.100377733
