Time elapsed was 246606101473ns or 246.606101473s,,246.606101473
Time elapsed was 246447846750ns or 246.447846750s,,246.44784675
Time elapsed was 247638303022ns or 247.638303022s,,247.638303022
Time elapsed was 246423363535ns or 246.423363535s,,246.423363535
Time elapsed was 246901150306ns or 246.901150306s,,246.901150306
Time elapsed was 246903661492ns or 246.903661492s,,246.903661492
Time elapsed was 246413038359ns or 246.413038359s,,246.413038359
Time elapsed was 248328885175ns or 248.328885175s,,248.328885175
Time elapsed was 246264322014ns or 246.264322014s,,246.264322014
Time elapsed was 246343908355ns or 246.343908355s,,246.343908355
,,
,,246.8270580481
