Time elapsed was 243622753946ns or 243.622753946s
Time elapsed was 241321166671ns or 241.321166671s
Time elapsed was 241583785006ns or 241.583785006s
Time elapsed was 240974562489ns or 240.974562489s
Time elapsed was 244287581274ns or 244.287581274s
Time elapsed was 241614121487ns or 241.614121487s
Time elapsed was 241526864677ns or 241.526864677s
Time elapsed was 240934524713ns or 240.934524713s
Time elapsed was 240924186372ns or 240.924186372s
Time elapsed was 241674107625ns or 241.674107625s
