Time elapsed was 865519378723ns or 865.519378723s
Time elapsed was 864485496098ns or 864.485496098s
Time elapsed was 870277455438ns or 870.277455438s
Time elapsed was 859637075908ns or 859.637075908s
Time elapsed was 854920197822ns or 854.920197822s
Time elapsed was 865016593137ns or 865.016593137s
Time elapsed was 857686665078ns or 857.686665078s
Time elapsed was 870544882324ns or 870.544882324s
Time elapsed was 866742688872ns or 866.742688872s
Time elapsed was 753235105507ns or 753.235105507s
