Time elapsed was 341211124ns or 0.341211124s,,341211124,,0.341211124
Time elapsed was 318524288ns or 0.318524288s,,318524288,,0.318524288
Time elapsed was 320404636ns or 0.320404636s,,320404636,,0.320404636
Time elapsed was 331022906ns or 0.331022906s,,331022906,,0.331022906
Time elapsed was 347614037ns or 0.347614037s,,347614037,,0.347614037
Time elapsed was 330202531ns or 0.330202531s,,330202531,,0.330202531
Time elapsed was 336127565ns or 0.336127565s,,336127565,,0.336127565
Time elapsed was 333462223ns or 0.333462223s,,333462223,,0.333462223
Time elapsed was 329912223ns or 0.329912223s,,329912223,,0.329912223
Time elapsed was 329876434ns or 0.329876434s,,329876434,,0.329876434
,,,,
,,331835796.7,,0.3318357967
